Status,ICZN,ICN,Kind
cotype,No,No,primary
epitype,No,Yes,primary
hapantotype,Yes,No,primary
holotype,Yes,Yes,primary
isoepitype,No,Yes,primary
isolectotype,No,Yes,primary
isoneotype,No,Yes,primary
isosyntype,No,Yes,primary
isotype,No,Yes,primary
lectotype,Yes,Yes,primary
neotype,Yes,Yes,primary
paralectotype,Yes,Yes,secondary
paratype,Yes,Yes,secondary
syntype,Yes,Yes,primary
type,No,No,primary
clonotype,No,No,other
clastotype,No,No,other
plastotype,No,No,other
allotype,No,No,secondary
topotype,No,No,other
morphotype,No,No,other
